Inwood207thStreet	DyckmanStreetA
DyckmanStreetA	190thStreet
190thStreet	181stStreetA
181stStreetA	175thStreet
175thStreet	168thStreet
168thStreet	163rdStreetAmsterdamAvenue
163rdStreetAmsterdamAvenue	155thStreetAC
155thStreetAC	145thStreetABCD
145thStreetABCD	135thStreetABC
135thStreetABC	125thStreetABCD
125thStreetABCD	116thStreetABC
116thStreetABC	110thStreetCathedralParkway
110thStreetCathedralParkway	103rdStreetABC
103rdStreetABC	96thStreetABC
96thStreetABC	86thStreetABC
86thStreetABC	81stStreetMuseumofNaturalHistory
81stStreetMuseumofNaturalHistory	72ndStreetABC
72ndStreetABC	59thStreetColumbusCircle
59thStreetColumbusCircle	50thStreetACE
50thStreetACE	42ndStreetPortAuthorityBusTerminal
42ndStreetPortAuthorityBusTerminal	34thStreetPennStationACE
34thStreetPennStationACE	23rdStreetACE
23rdStreetACE	14thStreet_EighthAvenue
14thStreet_EighthAvenue	WestFourthStreetWashingtonSquare
WestFourthStreetWashingtonSquare	SpringStreetACE
SpringStreetACE	CanalStreetACE
CanalStreetACE	ChambersStreet_WorldTradeCenter
ChambersStreet_WorldTradeCenter	FultonStreet_BroadwayNassauStreet
FultonStreet_BroadwayNassauStreet	HighStreetBrooklynBridge
HighStreetBrooklynBridge	JayStreetBoroughHall
JayStreetBoroughHall	HoytSchermerhornStreets
HoytSchermerhornStreets	LafayetteAvenue
LafayetteAvenue	ClintonWashingtonAvenuesAC
ClintonWashingtonAvenuesAC	FranklinAvenueFultonStreet
FranklinAvenueFultonStreet	NostrandAvenueAC
NostrandAvenueAC	KingstonThroopAvenues
KingstonThroopAvenues	UticaAvenue
UticaAvenue	RalphAvenue
RalphAvenue	RockawayAvenueAC
RockawayAvenueAC	BroadwayJunction
BroadwayJunction	LibertyAvenue
LibertyAvenue	VanSiclenAvenueAC
VanSiclenAvenueAC	ShepherdAvenue
ShepherdAvenue	EuclidAvenue
EuclidAvenue	GrantAvenue
GrantAvenue	80thStreet
80thStreet	88thStreet
88thStreet	RockawayBoulevard
RockawayBoulevard	104thStreet
104thStreet	111thStreetA
111thStreetA	OzoneParkLeffertsBoulevard
RockawayBoulevard	AqueductRacetrack
AqueductRacetrack	AqueductNorthConduitAvenue
AqueductNorthConduitAvenue	HowardBeachJFKAirport
HowardBeachJFKAirport	BroadChannel
BroadChannel	Beach67thStreet
Beach67thStreet	Beach60thStreet
Beach60thStreet	Beach44thStreet
Beach44thStreet	Beach36thStreet
Beach36thStreet	Beach25thStreet
Beach25thStreet	FarRockawayMottAvenue
